timestamp,symbol,price,quantity
1761460182420.0,ETHUSDT,3943.51,0.109
1761460182420.0,ETHUSDT,3943.51,0.006
1761460182420.0,ETHUSDT,3943.51,0.006
1761460182420.0,ETHUSDT,3943.51,0.079
1761460181886.0,ETHUSDT,3943.5,0.253
1761460180225.0,ETHUSDT,3943.51,0.429
1761460180225.0,ETHUSDT,3943.51,0.069
1761460179907.0,ETHUSDT,3943.5,0.474
1761460179891.0,ETHUSDT,3943.5,0.985
1761460179337.0,ETHUSDT,3943.51,0.05
1761460179317.0,ETHUSDT,3943.51,0.061
1761460179105.0,ETHUSDT,3943.5,0.279
1761460178470.0,ETHUSDT,3943.51,0.326
1761460178470.0,ETHUSDT,3943.51,0.006
1761460178470.0,ETHUSDT,3943.51,0.012
1761460178470.0,ETHUSDT,3943.51,2.536
1761460178470.0,ETHUSDT,3943.51,0.012
1761460178470.0,ETHUSDT,3943.51,0.006
1761460178470.0,ETHUSDT,3943.51,0.102
1761460178246.0,ETHUSDT,3943.5,0.063
1761460178168.0,ETHUSDT,3943.51,0.038
1761460178168.0,ETHUSDT,3943.51,0.006
1761460178168.0,ETHUSDT,3943.51,0.006
1761460178167.0,ETHUSDT,3943.51,0.061
1761460178167.0,ETHUSDT,3943.51,0.061
1761460178166.0,ETHUSDT,3943.51,0.012
1761460178163.0,ETHUSDT,3943.51,0.001
1761460178163.0,ETHUSDT,3943.51,0.006
1761460178163.0,ETHUSDT,3943.51,0.011
1761460178163.0,ETHUSDT,3943.5,0.006
1761460178163.0,ETHUSDT,3943.48,0.006
1761460178163.0,ETHUSDT,3943.47,0.006
1761460178163.0,ETHUSDT,3943.47,0.006
1761460178163.0,ETHUSDT,3943.46,0.03
1761460178163.0,ETHUSDT,3943.45,0.006
1761460178163.0,ETHUSDT,3943.44,0.006
1761460178163.0,ETHUSDT,3943.43,0.006
1761460178163.0,ETHUSDT,3943.43,0.006
1761460178163.0,ETHUSDT,3943.43,0.163
1761460178160.0,ETHUSDT,3943.43,0.09
1761460178160.0,ETHUSDT,3943.43,0.21
1761460178160.0,ETHUSDT,3943.43,0.006
1761460178160.0,ETHUSDT,3943.43,0.006
1761460178160.0,ETHUSDT,3943.43,0.006
1761460178160.0,ETHUSDT,3943.43,0.006
1761460178160.0,ETHUSDT,3943.43,0.006
1761460178160.0,ETHUSDT,3943.43,0.006
1761460178150.0,ETHUSDT,3943.43,0.024
1761460178150.0,ETHUSDT,3943.43,0.006
1761460178150.0,ETHUSDT,3943.43,0.006
1761460178150.0,ETHUSDT,3943.42,0.011
1761460178150.0,ETHUSDT,3943.4,0.03
1761460178150.0,ETHUSDT,3943.39,0.006
1761460178150.0,ETHUSDT,3943.39,0.006
1761460178150.0,ETHUSDT,3943.38,0.006
1761460178150.0,ETHUSDT,3943.38,0.011
1761460178150.0,ETHUSDT,3943.38,0.006
1761460178149.0,ETHUSDT,3943.37,0.006
1761460178149.0,ETHUSDT,3943.36,0.006
1761460178149.0,ETHUSDT,3943.36,0.006
1761460178149.0,ETHUSDT,3943.36,0.006
1761460178149.0,ETHUSDT,3943.36,0.353
1761460178149.0,ETHUSDT,3943.36,0.024
1761460178149.0,ETHUSDT,3943.36,0.043
1761460178149.0,ETHUSDT,3943.36,0.006
1761460178149.0,ETHUSDT,3943.36,0.001
